,address,name_x,distance_sch,name_y,distance_hawker,name_x,distance_cbd,name_y,distance_mrt
658,547 WOODLANDS DR 16,INNOVA PRIMARY SCHOOL,0.29600663272644395 km,730021,2.3167386613936367 km,city hall mrt,16.559958173178725 km,WOODLANDS SOUTH MRT STATION,0.3353904667376547 km
659,615 YISHUN RING RD,CHUNG CHENG HIGH SCHOOL (YISHUN),0.21732111336815116 km,760105,1.5693343497747432 km,city hall mrt,14.136088183026178 km,KHATIB MRT STATION,0.3714561635474687 km
660,103 GANGSA RD,ZHENGHUA PRIMARY SCHOOL,0.12988175097969895 km,588215,4.415497699228613 km,city hall mrt,13.317654798124984 km,PETIR LRT STATION,0.22968584059871291 km
661,483 JURONG WEST ST 41,FUHUA SECONDARY SCHOOL,0.13875866562020647 km,600347,0.7419873758770723 km,city hall mrt,15.388500288727215 km,LAKESIDE MRT STATION,0.5918927818815888 km
662,423 CANBERRA RD,ENDEAVOUR PRIMARY SCHOOL,0.0832658257940793 km,760105,2.6769765937053625 km,city hall mrt,18.189857348024045 km,SEMBAWANG MRT STATION,0.5612200825331415 km
663,408 SIN MING AVE,AI TONG SCHOOL,0.36652426322940884 km,564226,0.6133942257855876 km,city hall mrt,8.032138759299329 km,MARYMOUNT MRT STATION,1.697143608650373 km
664,138 PASIR RIS ST 11,WHITE SANDS PRIMARY SCHOOL,0.2796755028890193 km,521137,2.6010622075399548 km,city hall mrt,14.23945334634445 km,TAMPINES EAST MRT STATION,0.9739655414102365 km
665,51 TELOK BLANGAH DR,BLANGAH RISE PRIMARY SCHOOL,0.3340679830925213 km,100082,0.2533120287135028 km,city hall mrt,5.188625805866789 km,TELOK BLANGAH MRT STATION,0.30829072221064824 km
666,155 BEDOK STH AVE 3,TEMASEK PRIMARY SCHOOL,0.11033191629357257 km,461058,0.8314312747968776 km,city hall mrt,10.784424757621032 km,TANAH MERAH MRT STATION,0.9527499032813591 km
667,550 SERANGOON NTH AVE 3,SERANGOON GARDEN SECONDARY SCHOOL,0.4026016803364525 km,557269,1.0414579454859838 km,city hall mrt,9.045987929073249 km,KOVAN MRT STATION,2.122325163905934 km
668,808C CHOA CHU KANG AVE 1,CHUA CHU KANG PRIMARY SCHOOL,0.5707132352518873 km,600254,3.612377922374259 km,city hall mrt,14.920264327078748 km,KEAT HONG LRT STATION,0.509537781060188 km
669,675 CHOA CHU KANG CRES,UNITY SECONDARY SCHOOL,0.14574890202875498 km,738937,4.938701635203021 km,city hall mrt,16.864898656922275 km,YEW TEE MRT STATION,0.4509023937861275 km
670,107 PASIR RIS ST 12,LOYANG VIEW SECONDARY SCHOOL,0.1206568046969979 km,521137,2.8370628217563363 km,city hall mrt,14.295817675180736 km,PASIR RIS MRT STATION,1.1028719812399372 km
671,413 WOODLANDS ST 41,FUCHUN SECONDARY SCHOOL,0.6296226575430102 km,738937,1.2887111776739688 km,city hall mrt,17.35482320737895 km,MARSILING MRT STATION,0.5441579156394973 km
672,11 MARSILING DR,WOODLANDS SECONDARY SCHOOL,0.39893741027291596 km,730021,0.3887467594521608 km,city hall mrt,18.29918328619347 km,MARSILING MRT STATION,0.9710407678355925 km
673,235 SIMEI ST 4,CHANGKAT CHANGI SECONDARY SCHOOL,0.45533703618930527 km,521137,1.2360599248066113 km,city hall mrt,12.71648171709664 km,SIMEI MRT STATION,0.2391692098689962 km
674,524 JURONG WEST ST 52,RULANG PRIMARY SCHOOL,0.14403187062743503 km,640505,0.30284602001969957 km,city hall mrt,16.21292449477554 km,LAKESIDE MRT STATION,0.5274487792818405 km
675,30 BALAM RD,CANOSSA CATHOLIC PRIMARY SCHOOL,0.64418031562154 km,370080,0.20149951711572625 km,city hall mrt,5.59553766302471 km,MACPHERSON MRT STATION,0.46245353188751537 km
676,273B BISHAN ST 24,WHITLEY SECONDARY SCHOOL,0.15223711327098902 km,570320,0.8458607975687511 km,city hall mrt,7.054605098964743 km,BISHAN MRT STATION,0.7778265534440362 km
677,41 SIMS DR,GEYLANG METHODIST SCHOOL (SECONDARY),0.7961101864234409 km,380049,0.41876564358857854 km,city hall mrt,3.6779642180838827 km,GEYLANG BAHRU MRT STATION,0.6560655649277705 km
678,330 CLEMENTI AVE 2,PEI TONG PRIMARY SCHOOL,0.2720129325968842 km,120353,0.3436086383432485 km,city hall mrt,9.714295299154765 km,CLEMENTI MRT STATION,0.3052111751273221 km
679,170 GANGSA RD,ZHENGHUA PRIMARY SCHOOL,0.37411425319017266 km,588215,4.463019448342105 km,city hall mrt,13.501434746802802 km,PETIR LRT STATION,0.11129820944018899 km
680,382 TAMPINES ST 32,NGEE ANN SECONDARY SCHOOL,0.2269712204572639 km,521137,1.8441643212511918 km,city hall mrt,13.61387965399952 km,TAMPINES EAST MRT STATION,0.5167544371408631 km
681,158B RIVERVALE CRES,NORTH SPRING PRIMARY SCHOOL,0.41445331987163264 km,530209,3.972917617812448 km,city hall mrt,12.152933827425299 km,BAKAU LRT STATION,0.14444989778719167 km
682,217C COMPASSVALE DR,NAN CHIAU PRIMARY SCHOOL,0.42246706331444606 km,530209,3.5178349452364976 km,city hall mrt,11.670659445449234 km,SENGKANG LRT STATION,0.24172650462515305 km
683,180C BOON LAY DR,CORPORATION PRIMARY SCHOOL,0.3108183903252437 km,642221,0.5670944465969253 km,city hall mrt,17.146175083980793 km,BOON LAY MRT STATION,1.1245261320276878 km
684,791 YISHUN AVE 2,NAVAL BASE SECONDARY SCHOOL,0.30690530839040314 km,760105,1.3788455027324578 km,city hall mrt,14.265415955546464 km,KHATIB MRT STATION,0.3528540060218347 km
685,656 JLN TENAGA,TELOK KURAU PRIMARY SCHOOL,0.478657491761428 km,470630,0.747220601539296 km,city hall mrt,7.597907346905873 km,KAKI BUKIT MRT STATION,0.17159569773214328 km
686,429 JURONG WEST AVE 1,HUA YI SECONDARY SCHOOL,0.30011552135708514 km,640505,0.7188044280766978 km,city hall mrt,15.676413799518704 km,LAKESIDE MRT STATION,0.9336372042208191 km
687,216A BOON LAY AVE,CORPORATION PRIMARY SCHOOL,0.4863080458179325 km,642221,0.5006171088366497 km,city hall mrt,16.888031321699007 km,LAKESIDE MRT STATION,1.2028171765797047 km
688,707 WOODLANDS DR 40,EVERGREEN SECONDARY SCHOOL,0.29546172945842153 km,730021,2.1919647914216145 km,city hall mrt,17.47612791902475 km,ADMIRALTY MRT STATION,0.48427610764022766 km
689,768 CHOA CHU KANG ST 54,REGENT SECONDARY SCHOOL,0.15177264430540358 km,738937,5.434735169698541 km,city hall mrt,15.98851104416789 km,YEW TEE MRT STATION,0.4705083645631771 km
690,663 YISHUN AVE 4,NORTHLAND PRIMARY SCHOOL,0.1545121675703904 km,760105,1.8645521809766727 km,city hall mrt,14.10657032441295 km,KHATIB MRT STATION,0.8342330383258144 km
691,646 JURONG WEST ST 61,JURONG WEST PRIMARY SCHOOL,0.19105764378318332 km,642221,1.9078564623193908 km,city hall mrt,18.05142557457273 km,PIONEER MRT STATION,0.20907535710300224 km
692,101 YISHUN AVE 5,YISHUN SECONDARY SCHOOL,0.2923463711825207 km,760105,0.13989089878957928 km,city hall mrt,15.465642577521562 km,YISHUN MRT STATION,0.8253649900479673 km
693,470B FERNVALE LINK,FERN GREEN PRIMARY SCHOOL,0.06845834170293986 km,560527,3.8848548272221484 km,city hall mrt,11.886608928182417 km,KUPANG LRT STATION,0.21372702173498379 km
694,138D YUAN CHING RD,JURONG SECONDARY SCHOOL,0.1877110403836884 km,618499,0.7126531464459475 km,city hall mrt,14.916117015902183 km,LAKESIDE MRT STATION,1.7657408541212136 km
695,49 KIM PONG RD,ZHANGDE PRIMARY SCHOOL,0.5082649631910097 km,168898,0.2161214665249174 km,city hall mrt,2.6351057310760413 km,TIONG BAHRU MRT STATION,0.4419602651996715 km
696,407 HOUGANG AVE 10,HOLY INNOCENTS' HIGH SCHOOL,0.1765602045116972 km,530209,1.871269256105672 km,city hall mrt,10.064846519839609 km,HOUGANG MRT STATION,0.4121657590020379 km
697,10 MARSILING DR,WOODLANDS SECONDARY SCHOOL,0.3563282673742133 km,730021,0.33481401418727536 km,city hall mrt,18.371299122773117 km,MARSILING MRT STATION,0.9846935030524686 km
698,6 KIM TIAN RD,ZHANGDE PRIMARY SCHOOL,0.16506425749394754 km,162022,0.4671600395470355 km,city hall mrt,2.969428007517804 km,TIONG BAHRU MRT STATION,0.24554142692987943 km
699,919 HOUGANG AVE 4,HOUGANG SECONDARY SCHOOL,0.25329264245109406 km,530209,1.8826953837033407 km,city hall mrt,9.83226889012521 km,HOUGANG MRT STATION,1.0545980459844442 km
700,21 HAIG RD,TANJONG KATONG SECONDARY SCHOOL,0.5378860091986929 km,430014,0.2522271577664904 km,city hall mrt,5.244958396353268 km,PAYA LEBAR MRT STATION,0.5817649538398613 km
701,314A ANCHORVALE LINK,ANCHOR GREEN PRIMARY SCHOOL,0.23006272843745387 km,530209,3.541835643868561 km,city hall mrt,11.57782382753254 km,TONGKANG LRT STATION,0.41019883633356247 km
702,527 BEDOK NTH ST 3,DAMAI SECONDARY SCHOOL,0.3540522641111305 km,460511,0.28028201501699285 km,city hall mrt,9.55328938676152 km,BEDOK RESERVOIR MRT STATION,0.5403283499985297 km
703,557 HOUGANG ST 51,PALM VIEW PRIMARY SCHOOL,0.4344622651259573 km,530209,2.358254483430426 km,city hall mrt,10.503280689351895 km,BUANGKOK MRT STATION,0.4391141578976745 km
704,235 PASIR RIS ST 21,PASIR RIS PRIMARY SCHOOL,0.12766793520930994 km,500003,3.381900088414598 km,city hall mrt,15.113083854978646 km,PASIR RIS MRT STATION,1.456532511448844 km
705,272C JURONG WEST ST 24,CORPORATION PRIMARY SCHOOL,0.33022140940706607 km,642221,1.099271121293808 km,city hall mrt,17.67023377454076 km,BOON LAY MRT STATION,1.3710716702814634 km
706,256A SUMANG WALK,YUSOF ISHAK SECONDARY SCHOOL,0.11288036791864652 km,530209,5.307689054196706 km,city hall mrt,13.400809753428486 km,SOO TECK LRT STATION,0.19891417888971313 km
707,335B ANCHORVALE CRES,SPRINGDALE PRIMARY SCHOOL,0.4606257389515668 km,530209,4.375359043691688 km,city hall mrt,12.345687988652806 km,FARMWAY LRT STATION,0.17913160783558274 km
708,562 CHOA CHU KANG ST 52,KRANJI PRIMARY SCHOOL,0.33751047269260764 km,738937,5.41627599819553 km,city hall mrt,16.470279255674313 km,YEW TEE MRT STATION,0.20794518740895063 km
709,416 YISHUN AVE 11,NORTHBROOKS SECONDARY SCHOOL,0.3392323272013877 km,760105,2.1858551249673357 km,city hall mrt,14.480870760347042 km,YISHUN MRT STATION,1.3850783773669262 km
710,660 YISHUN AVE 4,NORTHLAND PRIMARY SCHOOL,0.1543551198098351 km,760105,1.7055304085861118 km,city hall mrt,14.301923549548652 km,KHATIB MRT STATION,0.8832925532929287 km
711,203A COMPASSVALE RD,SENG KANG SECONDARY SCHOOL,0.32940823845224554 km,530209,3.202014204891469 km,city hall mrt,11.387516771719973 km,RANGGUNG LRT STATION,0.31596725241887647 km
712,710 TAMPINES ST 71,POI CHING SCHOOL,0.30174008885916215 km,521137,1.688012127890243 km,city hall mrt,11.951951551978862 km,TAMPINES MRT STATION,0.7349175692769484 km
713,284 CHOA CHU KANG AVE 3,CHUA CHU KANG PRIMARY SCHOOL,0.21874850892840425 km,600347,3.9660881739570475 km,city hall mrt,15.593778010594809 km,SOUTH VIEW LRT STATION,0.3600834485627621 km
714,450C TAMPINES ST 42,GONGSHANG PRIMARY SCHOOL,0.3492843312577554 km,521137,1.552789539747242 km,city hall mrt,13.168996877842595 km,TAMPINES EAST MRT STATION,0.2814055290370352 km
715,255 YISHUN RING RD,NORTHLAND SECONDARY SCHOOL,0.17668201775481915 km,760105,1.4286097996593228 km,city hall mrt,15.68899272819638 km,YISHUN MRT STATION,0.8310315360045732 km
716,618 YISHUN RING RD,CHUNG CHENG HIGH SCHOOL (YISHUN),0.19547713847147416 km,760105,1.665596668474431 km,city hall mrt,14.03647395346597 km,KHATIB MRT STATION,0.3379256321247266 km
717,144 TECK WHYE LANE,CHUA CHU KANG SECONDARY SCHOOL,0.2695961190180735 km,600254,4.442667350418276 km,city hall mrt,14.784224548264495 km,KEAT HONG LRT STATION,0.45101656558358777 km
718,658 CHOA CHU KANG CRES,UNITY PRIMARY SCHOOL,0.35710842572894785 km,738937,4.810964896508881 km,city hall mrt,16.56377613603977 km,YEW TEE MRT STATION,0.41006073757221656 km
719,408 HOUGANG AVE 10,HOLY INNOCENTS' HIGH SCHOOL,0.22689929130091488 km,530209,1.8863776648227988 km,city hall mrt,10.084833773360614 km,HOUGANG MRT STATION,0.4046336979432618 km
720,1B CANTONMENT RD,CANTONMENT PRIMARY SCHOOL,0.3031705052475646 km,81006,0.23597794903273403 km,city hall mrt,2.0857511296668205 km,OUTRAM PARK MRT STATION,0.29783641166709146 km
721,512 BT BATOK ST 52,HILLGROVE SECONDARY SCHOOL,0.13961220348189166 km,600254,2.036568095737254 km,city hall mrt,12.9976781259714 km,BUKIT GOMBAK MRT STATION,0.5372893214089517 km
722,139 JLN BT MERAH,CHIJ (KELLOCK),0.47376209998095525 km,160112,0.13368528165086918 km,city hall mrt,3.2546647576605414 km,TIONG BAHRU MRT STATION,0.7871616487136172 km
723,683B JURONG WEST CTRL 1,BOON LAY SECONDARY SCHOOL,0.32048102896211605 km,642221,0.9748950087297551 km,city hall mrt,17.356875246392224 km,BOON LAY MRT STATION,0.5054021006602046 km
724,447 JURONG WEST ST 42,HUA YI SECONDARY SCHOOL,0.1601886554248917 km,640505,0.3806289032849343 km,city hall mrt,16.117203576811683 km,LAKESIDE MRT STATION,0.9114411409622741 km
725,414 CHOA CHU KANG AVE 4,BUKIT PANJANG GOVT. HIGH SCHOOL,0.43266340438205664 km,600347,4.229680232852352 km,city hall mrt,15.752214727447361 km,CHOA CHU KANG LRT STATION,0.3930202127380492 km
726,631 BEDOK RESERVOIR RD,TELOK KURAU PRIMARY SCHOOL,0.49364030787872926 km,470630,0.08606927233094928 km,city hall mrt,8.230627908002226 km,BEDOK NORTH MRT STATION,0.3890574402809354 km
727,641 PASIR RIS DR 1,PARK VIEW PRIMARY SCHOOL,0.10671362969287791 km,521137,3.478079470428257 km,city hall mrt,13.378023135202664 km,PASIR RIS MRT STATION,1.1380653236567695 km
728,281A SENGKANG EAST AVE,PALM VIEW PRIMARY SCHOOL,0.2578919934162018 km,530209,3.0486587136278356 km,city hall mrt,11.17667278756156 km,RENJONG LRT STATION,0.1350304503708558 km
729,414 PASIR RIS DR 6,CASUARINA PRIMARY SCHOOL,0.09687498790750193 km,521137,3.2564998070279514 km,city hall mrt,14.49599449374144 km,PASIR RIS MRT STATION,0.7718661671879843 km
730,235 COMPASSVALE WALK,SENG KANG PRIMARY SCHOOL,0.1572116555521053 km,530209,3.8246217015590105 km,city hall mrt,12.026654912964688 km,COMPASSVALE LRT STATION,0.41072175924150633 km
731,857 TAMPINES ST 83,JUNYUAN SECONDARY SCHOOL,0.23675557591646865 km,521137,1.3851721816071663 km,city hall mrt,11.489793186883087 km,TAMPINES MRT STATION,0.7980606859122716 km
732,879A TAMPINES AVE 8,SPRINGFIELD SECONDARY SCHOOL,0.29122067378367117 km,521137,1.8721555472305809 km,city hall mrt,10.723714995717822 km,TAMPINES WEST MRT STATION,1.2525661075347014 km
733,503 JELAPANG RD,GREENRIDGE PRIMARY SCHOOL,0.24176033030207567 km,588215,5.059631023517279 km,city hall mrt,13.918515899499896 km,JELAPANG LRT STATION,0.35044400590767694 km
734,280B SENGKANG EAST AVE,PALM VIEW PRIMARY SCHOOL,0.27700360396012363 km,530209,3.0685991890794733 km,city hall mrt,11.206818825179626 km,RENJONG LRT STATION,0.18534813719755164 km
735,349 UBI AVE 1,MANJUSRI SECONDARY SCHOOL,0.22150630610263308 km,402004,0.732650065449374 km,city hall mrt,6.462102729466279 km,UBI MRT STATION,0.48046553470204484 km
736,469A ADMIRALTY DR,CANBERRA PRIMARY SCHOOL,0.2841336965384824 km,760105,2.575526297140464 km,city hall mrt,17.890464468350682 km,SEMBAWANG MRT STATION,0.7160722502249798 km
737,201A COMPASSVALE DR,NAN CHIAU HIGH SCHOOL,0.3078667257557785 km,530209,3.3912940305077024 km,city hall mrt,11.525043193399894 km,RENJONG LRT STATION,0.3543791412102148 km
738,870A TAMPINES ST 86,JUNYUAN SECONDARY SCHOOL,0.3622489080709316 km,521137,1.8593335529215314 km,city hall mrt,11.242066804292644 km,TAMPINES MRT STATION,1.2600172232108355 km
739,136 YISHUN RING RD,AHMAD IBRAHIM PRIMARY SCHOOL,0.20850257077693893 km,760105,0.3712941106828216 km,city hall mrt,15.559420011627106 km,YISHUN MRT STATION,0.489485146185724 km
740,246 KIM KEAT LINK,PEI CHUN PUBLIC SCHOOL,0.729561955246905 km,310022,0.5249474854857358 km,city hall mrt,4.2002921640320245 km,TOA PAYOH MRT STATION,0.9510792519199682 km
741,515 CHOA CHU KANG ST 51,KRANJI SECONDARY SCHOOL,0.2652416875035822 km,600347,5.122992035724319 km,city hall mrt,16.211496726900478 km,CHOA CHU KANG MRT STATION,0.5402338987796653 km
742,470 CHOA CHU KANG AVE 3,CONCORD PRIMARY SCHOOL,0.2249467866843022 km,600347,3.6721174833831696 km,city hall mrt,15.937422040377827 km,SOUTH VIEW LRT STATION,0.943290043628966 km
743,358 WOODLANDS AVE 5,SI LING PRIMARY SCHOOL,0.2785727045637535 km,730021,1.3451691957696101 km,city hall mrt,17.34005187704383 km,WOODLANDS MRT STATION,0.45819383053864754 km
744,674B JURONG WEST ST 65,BOON LAY SECONDARY SCHOOL,0.2673192737093368 km,642221,1.2274148387204533 km,city hall mrt,17.71840135699982 km,BOON LAY MRT STATION,0.8505173510482733 km
745,605 ANG MO KIO AVE 5,MAYFLOWER PRIMARY SCHOOL,0.39713970669860976 km,560628,0.4832378166336439 km,city hall mrt,9.756594080899545 km,YIO CHU KANG MRT STATION,0.9689159163857602 km
746,153 PASIR RIS ST 13,WHITE SANDS PRIMARY SCHOOL,0.2915120326902475 km,521137,2.852223398778428 km,city hall mrt,14.538256103279148 km,TAMPINES EAST MRT STATION,1.2230214809625628 km
747,317 TAMPINES ST 33,NGEE ANN SECONDARY SCHOOL,0.32521610761988246 km,521137,1.5260429532460196 km,city hall mrt,13.294935297823942 km,TAMPINES EAST MRT STATION,0.5745750939355482 km
748,197 RIVERVALE DR,RIVERVALE PRIMARY SCHOOL,0.1420084981013516 km,530209,4.187730206473856 km,city hall mrt,12.3955534037802 km,RUMBIA LRT STATION,0.2941458925399006 km
749,119 SIMEI ST 1,CHANGKAT PRIMARY SCHOOL,0.39041168052345865 km,521137,0.8283924266950237 km,city hall mrt,12.399043752477596 km,SIMEI MRT STATION,0.1716841512235162 km
750,328 ANG MO KIO AVE 3,TECK GHEE PRIMARY SCHOOL,0.36227943965340104 km,560341,0.3074087136180515 km,city hall mrt,8.164197794315665 km,ANG MO KIO MRT STATION,0.41184186340601164 km
751,269 PASIR RIS ST 21,WHITE SANDS PRIMARY SCHOOL,0.31640603786975036 km,521137,3.0632235172550013 km,city hall mrt,14.733648462435967 km,TAMPINES EAST MRT STATION,1.432284182474086 km
752,18 ST. GEORGE'S RD,BENDEMEER SECONDARY SCHOOL,0.21610585117569 km,330029,0.5361309203825098 km,city hall mrt,3.625687727916584 km,BOON KENG MRT STATION,0.5316955457902163 km
753,646 PASIR RIS DR 10,PARK VIEW PRIMARY SCHOOL,0.17098123144983396 km,521137,3.6875541626532082 km,city hall mrt,13.39285536200759 km,PASIR RIS MRT STATION,1.3540337045529993 km
754,656C JURONG WEST ST 61,FRONTIER PRIMARY SCHOOL,0.05578274675003907 km,642221,1.8141504691814057 km,city hall mrt,17.63874391510113 km,PIONEER MRT STATION,0.34048382548682143 km
755,289F BT BATOK ST 25,KEMING PRIMARY SCHOOL,0.3054427062756886 km,588215,1.972628918996362 km,city hall mrt,11.876327033290657 km,BUKIT BATOK MRT STATION,1.1593632893149164 km
756,306A PUNGGOL PL,PUNGGOL VIEW PRIMARY SCHOOL,0.10801281283772808 km,530209,5.6259614304626115 km,city hall mrt,13.823739665013925 km,PUNGGOL LRT STATION,0.3487578087634515 km
757,55 STRATHMORE AVE,QUEENSTOWN PRIMARY SCHOOL,0.31478646276440037 km,140159,0.7154362898653618 km,city hall mrt,4.814143808776381 km,QUEENSTOWN MRT STATION,0.4162057177219589 km
758,336 TAMPINES ST 32,EAST SPRING PRIMARY SCHOOL,0.15183137745416936 km,521137,1.9164034598223645 km,city hall mrt,13.680303899714678 km,TAMPINES EAST MRT STATION,0.7562657067601203 km
759,943 HOUGANG ST 92,XINMIN SECONDARY SCHOOL,0.31261315605063855 km,530209,1.7454682832451294 km,city hall mrt,9.475307459168558 km,HOUGANG MRT STATION,1.3438596983090432 km
760,763 PASIR RIS ST 71,MERIDIAN PRIMARY SCHOOL,0.08080883881104485 km,521137,3.571548128546363 km,city hall mrt,12.921445470505468 km,PASIR RIS MRT STATION,1.6943154373800888 km
761,575 ANG MO KIO AVE 10,JING SHAN PRIMARY SCHOOL,0.43537418019908497 km,560527,0.22605231784937635 km,city hall mrt,8.682894051282405 km,ANG MO KIO MRT STATION,0.7301798169318557 km
762,253 TAMPINES ST 21,PASIR RIS SECONDARY SCHOOL,0.14286958089793578 km,521137,0.9541332298436362 km,city hall mrt,12.55051899647235 km,TAMPINES MRT STATION,0.33360405886524386 km
763,757 WOODLANDS AVE 4,EVERGREEN PRIMARY SCHOOL,0.2274394809945039 km,730021,1.9528210239295825 km,city hall mrt,18.135204161180248 km,ADMIRALTY MRT STATION,0.9455582932735991 km
764,19 QUEEN'S CL,NEW TOWN PRIMARY SCHOOL,0.8027482155967011 km,140159,0.3157625917604468 km,city hall mrt,5.830794805221478 km,QUEENSTOWN MRT STATION,0.6905052150735354 km
765,522 ANG MO KIO AVE 5,JING SHAN PRIMARY SCHOOL,0.09973648802071956 km,560527,0.28175152026288214 km,city hall mrt,8.866087571968775 km,ANG MO KIO MRT STATION,0.4415293078893895 km
766,473A UPP SERANGOON CRES,SERANGOON SECONDARY SCHOOL,0.2921443989852833 km,530209,2.546230873132148 km,city hall mrt,10.707255558510099 km,KANGKAR LRT STATION,0.808733384913731 km
767,724 BEDOK RESERVOIR RD,DAMAI SECONDARY SCHOOL,0.1512684713190489 km,460511,0.49538295499154433 km,city hall mrt,9.754393099645982 km,BEDOK RESERVOIR MRT STATION,0.42415617776284686 km
768,435B FERNVALE RD,SENGKANG GREEN PRIMARY SCHOOL,0.16997695870005305 km,560527,3.3609498092827255 km,city hall mrt,11.426160234576827 km,FERNVALE LRT STATION,0.17118303936475923 km
769,454 HOUGANG AVE 10,PUNGGOL PRIMARY SCHOOL,0.10826274075985498 km,530209,2.352171669700204 km,city hall mrt,10.560081406625192 km,BUANGKOK MRT STATION,0.5814371685881254 km
770,214 PASIR RIS ST 21,WHITE SANDS PRIMARY SCHOOL,0.24235708602417133 km,521137,3.0894943462260125 km,city hall mrt,14.654388331621972 km,PASIR RIS MRT STATION,1.4636683618978885 km
771,183A BOON LAY AVE,CORPORATION PRIMARY SCHOOL,0.35497221865467277 km,642221,0.4879025482790216 km,city hall mrt,17.048571822067455 km,BOON LAY MRT STATION,1.1787554877911137 km
772,405 WOODLANDS ST 41,MARSILING PRIMARY SCHOOL,0.4520552817723078 km,738937,1.0368516221022255 km,city hall mrt,17.59508597689901 km,MARSILING MRT STATION,0.3450346346630665 km
773,161 LOR 1 TOA PAYOH,CHIJ SECONDARY (TOA PAYOH),0.2893393346557422 km,310127,0.8339354610571575 km,city hall mrt,4.239407082692915 km,TOA PAYOH MRT STATION,0.36330236041165526 km
774,672A KLANG LANE,FARRER PARK PRIMARY SCHOOL,0.47236535784848266 km,210665,0.3343839225178497 km,city hall mrt,1.719864809503992 km,ROCHOR MRT STATION,0.37331222691571053 km
775,517 PASIR RIS ST 52,ELIAS PARK PRIMARY SCHOOL,0.14341316094434373 km,521137,3.241836898164134 km,city hall mrt,13.596392418687076 km,PASIR RIS MRT STATION,0.6279248411292953 km
776,343 UBI AVE 1,MANJUSRI SECONDARY SCHOOL,0.17334851638972443 km,402004,0.8011161175972258 km,city hall mrt,6.496476971593984 km,UBI MRT STATION,0.406351808368968 km
777,164C RIVERVALE CRES,MEE TOH SCHOOL,0.5354182246541128 km,530209,4.176931807091907 km,city hall mrt,12.354387690072157 km,RUMBIA LRT STATION,0.2785757623908342 km
778,235 BT BATOK EAST AVE 5,KEMING PRIMARY SCHOOL,0.32717137901707366 km,600254,2.1383227249988175 km,city hall mrt,12.35106730849396 km,BUKIT BATOK MRT STATION,0.7492756954704968 km
779,807 TAMPINES AVE 4,JUNYUAN PRIMARY SCHOOL,0.41260600651695556 km,521137,0.9515219956163551 km,city hall mrt,10.98293597386301 km,TAMPINES WEST MRT STATION,0.26049128741325006 km
780,713 PASIR RIS ST 72,PARK VIEW PRIMARY SCHOOL,0.5951148229000156 km,521137,4.172054391172106 km,city hall mrt,13.711647612806695 km,PASIR RIS MRT STATION,1.64774359747211 km
781,117B JLN TENTERAM,BENDEMEER SECONDARY SCHOOL,0.39341121338426627 km,320090,0.8576099244238969 km,city hall mrt,4.001241454641239 km,BOON KENG MRT STATION,0.9745581165473033 km
782,775 YISHUN RING RD,YISHUN INNOVA JUNIOR COLLEGE,0.3070264613707694 km,760105,1.1122737435136134 km,city hall mrt,14.508679006908423 km,KHATIB MRT STATION,0.5761023815823142 km
783,403 ADMIRALTY LINK,ENDEAVOUR PRIMARY SCHOOL,0.14596276549838008 km,760105,2.793542434669444 km,city hall mrt,18.256893362754557 km,SEMBAWANG MRT STATION,0.6927361685848537 km
784,130 PASIR RIS ST 11,LOYANG VIEW SECONDARY SCHOOL,0.13478948256763962 km,521137,2.600605641290841 km,city hall mrt,14.107136076403629 km,TAMPINES EAST MRT STATION,1.0472174449034253 km
785,289E BT BATOK ST 25,KEMING PRIMARY SCHOOL,0.36426347408453297 km,588215,1.9170654818743367 km,city hall mrt,11.814044933250154 km,BUKIT BATOK MRT STATION,1.220160496885721 km
786,638 PASIR RIS DR 1,PARK VIEW PRIMARY SCHOOL,0.19772452399634788 km,521137,3.430093783907742 km,city hall mrt,13.45903662151839 km,PASIR RIS MRT STATION,0.9981602487855266 km
787,551 PASIR RIS ST 51,LOYANG VIEW SECONDARY SCHOOL,0.43460389667441224 km,521137,2.609265791441041 km,city hall mrt,13.889446689106679 km,PASIR RIS MRT STATION,0.7563863600515371 km
788,4B ST. GEORGE'S LANE,BENDEMEER SECONDARY SCHOOL,0.27141432311053715 km,330029,0.46469293288779945 km,city hall mrt,3.353917373281641 km,BOON KENG MRT STATION,0.361310464418289 km
789,832 JURONG WEST ST 81,WEST GROVE PRIMARY SCHOOL,0.46226488796872095 km,642221,1.9958888887551811 km,city hall mrt,18.401718756479376 km,PIONEER MRT STATION,0.750518020063096 km
790,637 ANG MO KIO AVE 6,PRESBYTERIAN HIGH SCHOOL,0.20374483124752066 km,560628,0.20212681963499166 km,city hall mrt,9.73410808928618 km,YIO CHU KANG MRT STATION,0.32876468191645225 km
791,248 HOUGANG AVE 3,XINGHUA PRIMARY SCHOOL,0.2854764441359703 km,530105,0.6454633525397073 km,city hall mrt,8.58957172210575 km,KOVAN MRT STATION,0.8435624581323168 km
792,320 ANG MO KIO AVE 1,TECK GHEE PRIMARY SCHOOL,0.2860534400690808 km,560341,0.19644848150198396 km,city hall mrt,8.047475752787756 km,ANG MO KIO MRT STATION,0.497228955561626 km
793,634 HOUGANG AVE 8,BOWEN SECONDARY SCHOOL,0.0924004281087573 km,557269,1.4746408269933224 km,city hall mrt,9.001568046599795 km,KOVAN MRT STATION,1.3183859594997454 km
